대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL),
,,,,여성친화도시조성_조성사업,여성친화도시조성사업 어떤 일을 했나요?,여성친화도시조성사업 성과 알려줘,"[여성친화도시 조성 사업]
**표**
과제명	부서명	비고
계 (63개)
Ⅰ. 안전	안전 지킴 CCTV 관제센터 구축 운영	안전재난과
학교폭력, 성폭력, 성희롱 예방 시범학교 운영	사회복지과
여성 · 가족전용 관광숙박단지 조성	사회복지과
여성이 안전한 공중화장실 조성	환경보호과
장애없는 보행환경 조성	도로교통과
시각장애인을 위한 교통체계 개선	도로교통과
주차장 관리 조례 개정	도로교통과
밝고 안전한 밤거리 조성	문화체육관리사업소
밤길 안전귀가 시스템 구축	총무과
시민이 행복한 안전도시 보령 만들기	안전재난과
물놀이 안전 MOU 체결 및 해수욕장 안전지도 제작	안전재난과
여성아동이 안전한 골목길 비상벨 설치	사회복지과
시민 모니터링 활동 활성화	사회복지과
폐광지역 빈집정비사업 추진	건설과
유니버설 및 셉테드 공공디자인 공모	도시과
블랙박스 LED 보안등 설치	문화체육관리사업소
Ⅱ. 돌봄	「 가족사랑의 날 」 운영 추진	총무과
임산부, 장애인, 노약자 우선배려 창구 설치 운영	민원지적과
공동 육아 나눔터 가족품앗이 운영	사회복지과
남성 독거노인 가사 독립 멘토 양성 파견	사회복지과
부부 출산준비교실 운영	보건소
귀농 · 귀촌 · 귀향인 적극 유치, 성공적 정착지원	농업기술센터
대천해수욕장 내 수유실 설치 및 유모차, 휠체어 무료
대여 서비스	문화체육관리사업소
어르신 동거동락 생활방 운영	사회복지과
장애아동 · 청소년 별빛교실 운영	사회복지과
맞벌이 부부를 위한 보육시간 연장 운영비 지원	사회복지과
보호자 없는 병실 운영	보건소
Ⅲ. 건강	여성이 행복한 고향의 강 대천천 조성	안전재난과
자전거도로 인프라 구축	도로교통과
여성친화 보령 무궁화수목원 조성	산림공원과
저염식 조리체험교실 운영	보건소
농어촌 여성 건강검진	보건소
여성노인 AQUA (수중) 운동교실 운영	보건소
위기노인 방문 건강상담 운영	보건소
안전하고 편리한 농작업보조구 지원	농업기술센터
여성배려 헬스장 운영	문화체육관리사업소
청천저수지 주변 자전거길 조성	도로교통과
Ⅳ. 문화	가족친화적 죽정공공도서관 운영	문화공보실
작은도서관 운영 및 조성	문화공보실
보령종합체육관 여성친화적 설계기준 적용 조성	문화공보실
여성친화 아카데미 운영	사회복지과
여성장애인 문화체험 프로그램 운영	사회복지과
여성에게 편리한 전통시장 이용환경 조성	지역경제과
보령명천택지개발조성사업	도시과
여성친화 문화 Zone 조성	문화체육관리사업소
가족친화 무창포해수욕장 전망타워 조성	해수욕장경영사업소
Road 여행도시 보령 조성	사회복지과
청라면 농촌중심지 활성화 사업	건설과
마을사업 모델 육성	건설과
Ⅴ. 성평등	각종 위원회 여성위원 비율 확충	총무과
여성관리직 임용목표제 도입	총무과
읍 · 면 · 동 주민자치센터 여성위원 확대	새마을정보과
여성친화도시 BSC 성과관리 평가	사회복지과
찾아가는 여성친화도시 교육	사회복지과
도시계획위원회 성인지 정책전문가 참여 의무화	도시과
여성친화도시 BSC 성과관리 평가	사회복지과
찾아가는 여성친화도시 교육	사회복지과
여성농업인 농기계 지원 확대	농정과
각종 사업 선정시 여성농업인 참여 확대	농정과
만세보령 농업대학 여성 선발 비율 확대	농업기술센터
Ⅵ. 일자리	여성친화적 농공단지 조성-청라농공단지	지역경제과
여성 사회적 · 마을기업 육성	지역경제과
여성 지역공동체 일자리사업 발굴	지역경제과
여성 농기계활용 교육 및 자격증반 시범운영	농업기술센터
상수도 주부 검침원 제도 확대 · 개선 운영	수도사업소	",https://www.brcn.go.kr/welfare/sub03_07_04.do,
분야별 정보,복지/보건,복지정보,성별영향분석평가,성별영향분석평가_성별영향분석평가란,성별영향분석평가가 뭐에요?,"성별영향분석평가의 목적은 뭐에요?
성별영향분석평가에 대해 알려주세요
성평등 분석에 대해 알려주세요
성차별 분석 평가 제도 궁금합니다
성별 분석 평가 법적 근거가 뭡니까?","[성별영향분석평가]
법령ㆍ계획ㆍ사업 등 정부의 주요 정책을 수립 시행하는 과정에서 여성과 남성의 특성과 사회ㆍ경제적 격차 등의 요인들을 체계적으로 분석평가함으로써 정부 정책이 성평등의 실현에 기여하도록 하는 제도

[성별영향분석평가의 목적]
- 정부 정책이 성별에 미치는 영향을 체계적ㆍ종합적으로 분석평가하여 실질적인 성평등 실현
- 정책의 성차별적 원인을 분석평가하여 합리적으로 개선함으로써 효율적인 정책추진 체계 확립
- 정책 수요자의 성별 특성에 기반한 정책실행으로 시민 만족도 제고

[법적 근거]
- 성별영향분석평가법(이하""법""이라고 함) 및 성별영향분석평가법 시행령(이하""영""이라 함)
- 양성평등기본법 제15조[시행 2015. 7. 1]",https://www.brcn.go.kr/welfare/sub03_08.do,
,,,,성별영향분석평가_사업내용,성별영향분석평가 사업내용이 뭔가요?,"성별영향분석평가 사업내용을 알고싶어요
성평등 분석해서 무슨 사업 하나요
성차별 분석으로 하는 사업 알려줘","[성별영향분석평가 사업 내용]
1. 성별영향분석평가 확대 추진
사업기간 : 연중
대상과제 : 법령, 사업, 계획 분야
내용 : 성인지 관점을 적극 반영, 정책 개선

2. 공무원 성별영향분석평가 교육
교육횟수 : 연2회 (200명)
내용 : 성별영향분석평가 제도의 이해 및 실무사례 등",https://www.brcn.go.kr/welfare/sub03_09.do,
,,,보육,보육사업_영유아 보육료 및 양육수당 지원,영유아 보육료 및 양육수당 지원에 대해 알려주세요,"영유아 보육료에 대해 알려줘
영유아 양육수당에 대해 알려줘
영유아 양육수당 지원금은 얼마야?
영아 양육수당
영아 보육수당
유아 수당 받을 수 있는 거 알려줘","[영유아 보육료 및 양육수당 지원]
2013년 3월부터 보육료 전면 무상 보육을 실시하고 있으며, 보육기관을 이용하는 영유아에게는 아이행복카드를 통해 보육료를 지급하고, 어린이집·유치원·종일제 돌봄 서비스를 이용하지 않는 만0-5세 가정양육아동에게는 양육수당을 지원하여 부모의 양육부담을 경감하고 보육료 지원아동과의 형평성을 제고하고 있다.

[보육료 및 양육수당 지원 단가]
**표**
(단위 : 원)
구 분	출생연도	어 린 이 집	유치원	양육수당 (미이용시)
계	보육료	기본보육료
만0세	2014.1.1. 이후	778,000	406,000	372,000	-	200,000
만1세	2013년도	537,000	357,000	180,000	-	150,000
만2세	2012년도	413,000	295,000	118,000	-	100,000
만3세	2011년도	220,000	220,000	-	220,000	100,000
만4세	2010년도	100,000
만5세	2009년도	100,000
※ 어린이집: 보육료-아이행복카드 결제, 기본보육료-어린이집 지원/ 유치원 : 아이행복카드",https://www.brcn.go.kr/welfare/sub04_01.do,
,,,,보육사업_어린이집 지원 현황,어린이집 지원 현황에 대해서 알려주세요,"어린이집 지원 내용은 뭐가 있어?
어린이집 지원 사업명은 뭐가 있어?
어린이집 지원받을 수 있는거 알려줘","[어린이집 지원]
매년 어린이집의 보육활동의 질적수준 제고를 위하여 보육교사 인건비, 교재교구비 지원 등 운영 경비를 지원하고 있으며, 이를 통해 보다 질 높은 보육서비스를 영유아에게 제공하고자 노력하고 있습니다.

[어린이집 지원 현황]
**표**
사 업 명	사 업 대 상	사 업 내 용
평가인증민간어린이집 차액보육료	법정(기초수급)아동 중
민간이용자/150명	국공립과 민간시설이용차액 월2~4만원지원
평가인증시설 보육도우미	평가인증어린이집	월 68만원
평가인증어린이집 난방비지원	평가인증어린이집	년 20만원
대체교사 인건비	대체근무 교사	일 4.5만원
행복어린이집 운전원인건비	행복어린이집 운전원	월 150만원
장애아전담시설 차량운영비	행복어린이집 운행차량	월 650천원
교재교구비	평가인증어린이집	교재교구 구입 현원별 차등지원50-120만원
농촌보육시설차량 운영비	농촌소재어린이집	월 200,000원
어린이집우수농산물 급식비	어린이집이용 영유아	1인 1일 150원
보육돌봄서비스	인건비지원 어린이집근무
보육종사자 110명	배치반별(영아,유아) 인건비 30%,80%,100%
급간식비지원	어린이집이용 영유아	1인당/ 1일/ 300원
공공형어린이집지원	공공형어린이집	운영비지원(253만원-875만원)
농어촌법인 어린이집지원	농어촌법인어린이집	개소당/월평균 23만원
시간연장형어린이집 운영비지원	운영비지원	개소당/연30만원",https://www.brcn.go.kr/welfare/sub04_02.do,
,,,,보육사업_보육교사 지원,보육교사 지원은 어떤게 있나요?,"보육교사 지원 내용에 대해 알려줘
보육교사 지원 사업대상은 누구야?
보육교사 지원금은 얼마야?
보육교사가 받을 수 있는 수당","[보육교사 지원]
열악한 환경에서 근무하고 있는 보육교사의 사기진작을 위하여 매월 각종 수당을 지원함으로써 보육교사의 복지 증진과 더불어
보육서비스 향상에도 기여하고 있습니다.

보육교사 지원 현황
**표**
사 업 명	사 업 대 상	사 업 내 용
처우개선비(市)	민간․가정 보육교사	월 100,000
장애아통합보육운영수당	장애아 보육하는 보육교사	월 50,000
평가인증어린이집 영아반수당	평가인증어린이집 영아반 보육교사	월 30,000
처우개선비(道)	어린이집 보육교직원 전체	원장 150,000 / 교사 100,000
교사근무환경개선비	어린이집 보육교사 전체	월 170,000
만3-5세 담 임 수 당	만3~5세 누리과정 담임교사	월 300,000",https://www.brcn.go.kr/welfare/sub04_03.do,
,,,,보육시설_보령시 어린이집 현황,보령시 어린이집 현황 알려줘,"보령시 국공립 어린이집 현황 알려줘
보령시 민간 어린이집 현황 알려줘
보령시 가정 어린이집 현황 알려줘","[보령시 어린이집 현황]
보령시는 영유아의 심신을 보호하고 건전하게 교육하여 건강한 사회의 구성원으로 육성함과 아울러 보호자의 경제적 사회적 활동이 원활하게 이루어지도록 함으로써 영유아 및 가정의 복지 증진에 이바지함을 목적으로 보육복지에 힘쓰고 있습니다.

보령시 어린이집 현황은 다음 URL에서 확인할 수 있습니다.
<LINK>
보령시 어린이집 현황
https://www.brcn.go.kr/welfare/sub07_03.do
보령시에 위치한 어린이집 현황을 확인할 수 있습니다.

기타 어린이집에 관한 자세한 사항은 아이사랑보육포털에서 찾아 볼 수 있습니다.
<LINK>
아이사랑보육포털
http://www.childcare.go.kr
어린이집에 관한 자세한 사항을 확인할 수 있습니다.",https://www.brcn.go.kr/welfare/sub07_03.do,
,,,아동/청소년,요보호아동지원_입양아동 지원1,입양아동 지원에 대해서 알려줘,"입양아동 지원 대상은 뭔가요?
입양아동 지원내용은 뭔가요?
입양한 아이 장애시 지원금
입양 장애 아동 보조금
입양 장애 아동 의료비 지원
입양아동 의료급여","[목적]
국내입양 활성화를 위해 입양아동에 대한 지원으로 혈연중심의 가족 문화에 따른 비밀입양 위주의 입양인식 개선

[지원대상]
입양촉진 및 절차를 갖춰 요보호 아동을 입양한 국내 입양가정

[근거]
입양촉진 및 절차에 관한 특례법 및 동법 시행령 ㆍ 시행규칙

[지원내용]
**표**
사업명	지원대상	지원액	비고
입양아동
양육수당	13세미만 아동의 국내 입양한 가정	월 15만원 양육수당 지급 (아동1인당)
장애아동
양육보조금 및
의료비 지원	장애복지법 제2조의 규정에 의한 장애인에 해당하는 입양 아동
※ 장애아동 입양 당시 장애 또는 의료적
문제가 없었으나 선천적 요인으로 인해
장애나 질환이 발생한 아동	양육보조금 중증 장애인 627천원
경증 장애인 551천원
*의료비
연간 252만원 한도내 본인이 부담한
진료 ㆍ 상담 ㆍ 재활 및 치료에 소요되는 비용
입양아동
의료급여 실시	구청에 입양사실확인서 및 입양아동
의료급여적용 신청서 제출한 입양아동	의료급여 1종	",https://www.brcn.go.kr/welfare/sub05_01.do,
,,,,요보호아동지원_입양아동 지원2,입양기관현황 알려줘,"입양기관에 대해 알려줘
보령 내에 있는 고아원 알려줘
입양 시설 알려줘
입양하려고 하는데 시설 알려줘","[입양기관 현황]
보령시 입양기관 현황은 다음 URL에서 보다 자세하게 확인하실 수 있습니다.
<LINK>
보령시 입양기관 현황
https://www.brcn.go.kr/welfare/sub05_01.do
보령시 내 입양기관을 확인할 수 있습니다.",https://www.brcn.go.kr/welfare/sub05_00.do,
,,,,요보호아동지원_가정위탁아동 지원,가정위탁아동 지원에 대해서 알려주세요,"가정위탁아동 지원 대상아동은?
가정위탁아동 유형은?
가정위탁아동 지원내용은?
가정 위탁 보조금 알려줘
가정 위탁 아동 대상
","[목적]
보호를 필요로 하는 아동을 적합한 가정에 일정기간 위탁하여 아동의 정서적 안정을 도모하고 안정적인 양육환경 제공

[대상아동]
만18세 미만의 아동 (만18세 이상인 경우에도 고등학교 재학중인 아동은 포함) 으로서 부모의 사망, 가출, 실직, 수감 등의 사유로 보호가 필요한 아동 소년소녀가정의 가정위탁보호 전환 추진
※ 소년소녀가정보호 제도는 아동에게 위험을 초래할 수 있어 UN등에서도 폐지를 권고하고 있음

[가정위탁유형]
-대리양육가정위탁 : 친조부모, 외조부모에 의한 양육
-친인척 가정위탁 : 친조부모, 외조부모를 제외한 친인척에 의한 양육
-일반 가정위탁 : 일반인에 의한 가정위탁

[지원내용]
-양육보조금 지원 : 아동 1인당 월 120천원 이상
-국민기초생활보장법에 의한 생계비 등 지원
-가정위탁아동 상해보험료 지원
-위탁아동 후유장해, 입원ㆍ통원 의료비 등 지원
-보험료 : 1인당 년7만원 이내
-가정위탁보호비 추가지원 : 43천원 / 가정 ㆍ 월
-대리양육 ㆍ 친인척 위탁 가정 전세자금 지원 (국토해양부)",https://www.brcn.go.kr/welfare/sub05_01.do,
,,,,아동복지시설_아동양육시설 지원,아동양육시설 지원에 대해서 알려주세요,"아동양육시설 입소 대상아동을 알려줘
아동 양육시설 현황을 알려줘
보호 아동 양육 시설
학대 아동 보호 양육 시설","[목적]
보호를 필요로 하는 아동을 양육시설에 입소시켜 안전하게 보호하고 건전하게 양육하여 사회인으로 자립하도록 지원

[입소대상 아동]
-관련근거 : 아동복지법 제15조 제1항
-보호자가 없거나 보호자로부터 이탈된 아동
-보호자로부터 학대받은 아동
-보호자의 학대로 아동보호전문기관에 신고되어 동 기관이 시장에게 보호조치를 의뢰한 아동
(특히, 아동에게 장애가 있거나 문제 행동이 심각한 경우 아동보호 전문기관에서 아동의 시설 입소를 의뢰하면 반드시 입소될 수 있도록 해야 함)
-기초생활보장수급자로서 보호자의 질병, 가출 등으로 가정내에서 보호하기 어려운 아동
-시장 또는 구청장이 특별히 보호가 필요하다고 인정하는 아동

[아동양육시설 현황]
**표**
연번	시설명	주소	시설명	정원	현원	비고
계	106	86
1	대천애육원	보령시 마루뜰길 36	김송자	57	48
2	보령육아원	보령시 보령남로 207	이정은	49	38	",https://www.brcn.go.kr/welfare/sub07_04.do,
,,,,아동복지시설_지역아동센터 지원,지역아동센터지원에 대해 알려주세요,"지역아동센터 입소대상 아동은 누구인가요?
지역아동센터 지원내역 알려주세요
지역아동센터 현황 알려주세요
지역아동센터 입소하려면 조건","[목적]
방과후 돌봄이 필요한 지역사회 아동의 건전육성을 위하여 보호 · 교육, 건전한 놀이와 오락의 제공, 보호자와 지역사회의 연계 등 종합적인 복지서비스 제공

[입소대상 아동]
-관련근거 : 아동복지법 제52조 제1항
-국민기초생활보장 수급권자가정아동
-차상위계층가정아동, 보호대상 한부모가정아동, 다문화가정아동, 장애가정아동
-전국 평균소득가구 70%이하 가구중 보호와 지원이 필요하다고 판단하는 아동으로 시장의 승인아동

[지원내역]
-문화서비스 제공 : 문화체험 및 다양한 문화경험의 장 제공
-지역사회 아동보호 실현 : 지역사회 안에서 아동 권리보장과 안전한 보호, 급식 등 지원
-교육적 지원 : 아동의 학습능력 제고, 학교 부적응 해소, 일상생활 지도, 학교생활유지 및 적응력 강화",https://www.dreamstart.go.kr/bory/contents/sub01_01_02.asp,
,,,,청소년복지시설_청소년수련관,청소년 수련관 알려줘,"보령시 청소년 수련관에 대해 알려줘
청소년 수련관 위치 알려줘
보령시 청소년 수련관 어디있어","[보령시 청소년수련관]
보령시 청소년수련관은 1998년 개관하여 시 직영으로 운영하다 2010년부터 보령시 시설관리공단에서 운영 관리중이며 청소년들의 권리 증진과 지도력 개발을 위한 프로그램을 개발 · 보급하며 도전정신을 기를 수 있는 모험 개척활동, 환경보전활동, 과학적 탐구능력을 증대시키는 프로그램을 운영하고 있다.

[위치]
보령시 성주산로 500

[수탁기관]
보령시 시설관리공단

[직원]
4명

[규모]
지하 1층, 지상 3층",https://www.brcn.go.kr/welfare/sub07_05.do,
,,,,청소년복지시설_청소년문화의집,보령시 청소년문화의집 알려줘,"청소년 문화의집에서 뭐할 수 있어
문화의집이 뭐야
청소년 문화의집 위치 알려줘","[보령시 청소년문화의집]
생활권내의 청소년들의 다양한 문화 활동을 실시할 수 있는 시설 설비를 갖추고 문화 · 예술 · 정보 중심의 수련활동을 실시하는 청소년 수련시설로서 보령시 청소년이라면 누구나 이용할 수 있는 다양한 프로그램 운영함으로써 지역 내 청소년들의 문화 활동에 기여

[위치]
보령시 문화원길 9 (동대동)

[수탁기관]
(사)보령시청소년교화연합회

[시설규모]
1,339㎡

[주요시설]
-파워인터넷
-파워무비
-자료실
-파워댄스 등",,
,,,,청소년복지시설_청소년상담복지센터,보령시 청소년 상담복지센터에 대해 알려줘 ,"청소년 상담 시설
청소년 상담받을 수 있는 곳
청소년 상답복지센터 어디있어","[보령시 청소년상담복지센터]
보령시 청소년상담복지센터는 「 청소년기본법 」 에 따라 설치된 전문적인 청소년상담기관으로 청소년, 학부모, 교사 등을 대상으로 개인 및 집단 상담, 심리 전화상담, 심리검사, 사이버 상담 등 종합적인 상담서비스를 제공하고 있으며, 청소년 전화 “1388”을 24시간 운영하며 위기 청소년 긴급구조 및 일시보호 서비스를 제공함으로써 위기 청소년들을 지원하고 있다.

[위치]
보령시 문화원길 9 (동대동)

[수탁기관]
(사)보령시청소년교화연합회

[직원]
6명

[주요시설]
1,178명",,
,,,,청소년보호육성_유해환경 지도단속,청소년 유해환경 지도단속에 대해 알려주세요,"청소년 유해환경 지도단속 기간은 언제인가요?
청소년 유해환경 지도단속 지역은?
청소년 유해환경 지도단속 대상은?
청소년 지도 단속","[청소년 유해환경 지도단속]
-단속기간 : 연중
-청소년보호 유관기관 (경찰서, 교육청, 유해환경감시단, 여성청소년과 등) 합동지도단속 : 월 4회 이상 실시
-단속지역 : 보령시 전역
-단속대상 : 청소년보호법에 의한 유해매체물, 유해약물, 유해물건, 유해업소, 청소년 고용금지업소",https://www.brcn.go.kr/welfare/sub05_00.do,
,,,,청소년보호육성_청소년출입 / 고용금지업소,청소년 출입금지 업소 알려줘,"청소년 출입금지 업소는?
청소년 출입금지 위반행위는?","[청소년출입 / 고용금지업소]
-종류
유흥주점, 단란주점, 비디오물감상실업, 노래연습장업 (청소년 출입시설 갖춘 업소 제외) 무도학원업, 무도 장업, 사행행위영업, 전화방, 화상대화방, 여성가족부 고시

**표**
대상	행위자	위반행위
청소년 출입금지 위반	업주
종사자	제29조 제2항의 규정에 위반하여 청소년을 유해업소에 출입시킨 자
※ 제29조 제2항 : 청소년출입 · 고용금지업소의 업주와 종사자는 출입자의 나이를 확인하여 청소년이 그업소에 출입하지 못하게 하여야 한다.
청소년이 친권자등을 동반할때는 출입을하게 할 수 있다.
다만 유흥주점, 단란주점 영업의 경우에는 그러하지 아니하다
(법 제 29조 제4항, 영 제27조)
청소년 고용금지 위반	업주	제29조 제1항의 규정에 위반하여 청소년을 유해업소에 고용한 자
※ 청소년 유해업소 업주는 종업원을 고용하고자 하는 때에는 그연령을
확인하여야하며, 청소년을 고용하여서는 아니된다.
청소년 출입 · 고용 금지표시
불이행	업주 ·
종사자	제29조 제5항의 규정에 위반하여 청소년유해업소의 청소년 출입 · 고용제한표시를 하지 아니한 자
※ 제29조 제5항 : 청소년유해업소의 업주와 종사자는 그 업소에 대통령령으로
정하는 바에 따라 청소년의 출입과 고용을 제한하는 내용을 표시 하여야 한다.
청소년 출입 · 고용금지업소의 출입구중 가장 잘보이는 곳에 「 19세미만 출입 · 고용금지업소 」 표지 부착 (영 제28조)
**",https://www.brcn.go.kr/welfare/sub05_01.do,
,,,,청소년보호육성_청소년 고용금지업소,청소년 고용금지업소에 대해서 알려줘,"청소년 고용금지업소 종류는?
청소년 고용금지업소 규제내용은?
","[청소년 고용금지업소]
종류
숙박업, 이용업 (다른법령에서 취업이 금지되지 아니하는 남자청소년 제외), 목욕장업 중 안마실 설치영업하거나 개실로 구획하여 하는 영업, 유독물제조 · 판매 · 취급업, 티켓다방, 주류판매목적의 소주방 · 호프 · 카페등 형태의 영업, 비디오물 판매 · 대여업, 종합게임장, 만화대여업, 청소년보호위원회 고시업소

[규제내용]
**표**
대상	헹위자	위반행위	위반사형자처벌	과장금 (타법령에 의한 처분의 대상이 아닌 경우)
청소년 고용금지
위반	업주	제29조제1항의 규정에 위반하여 청소년을
유해업소에 고용한 자
※ 청소년 유해업소 업주는 종업원을 고용하고자 하는 때에는 그연령을 확인하여야하며, 청소년을 고용하여서는 아니된다.	3년이하징역 또는 2천만원이하 벌금 (법 제58조 제4호)	1명1회 고용마다 1,000만원
**",https://www.brcn.go.kr/welfare/sub05_02.do,
,,,,청소년보호육성_청소년공부방,청소년 공부방에 대해서 알려줘,"청소년 공부방 이용 대상자는?
청소년 공부방 운영시간 알려줘
청소년 공부방 이용가능인원?
청소년 공부방 이용료는?","[청소년공부방]
-사업내용 : 지역 내 청소년을 위해 학습공간 조성
-대상자 : 지역 내 청소년
-운영기간 및 운영 일시 : 연중 (매주 월요일, 법정 공휴일[일요일 제외] 휴무), 평일 17시 ~ 23시, 일요일 15시 ~ 23시,
-방학기간 15시 ~ 23시
-이용가능인원 : 40명 (좌석 수)
-이용료 : 무료
-이용방법 : 이용 시간 내 자유롭게 이용",https://www.brcn.go.kr/welfare/sub05_03.do,
,,,,청소년보호육성_보령시 청소년 방과후아카데미,보령시 청소년 방과후 아카데미가 뭐에요?,"보령시 청소년 방과후아카데미란?
보령시 청소년 방과후아카데미 신청대상자는?
보령시 청소년 방과후아카데미참가비용은?
보령시 청소년 방과후아카데미 사업내용 알려줘","[보령시 청소년 방과후아카데미]
여성가족부와 보령시의 지원으로 소년들의 건강한 방과후활동과 삶의 질 향상을 위해 가정이나 학교에서 체험하지 못했던 다양한 청소년활동 프로그램 및 청소년생활관리 등 청소년을 위한 종합서비스

-신청대상자 : 방과 후 나홀로 청소년, 학교나 가정에서 체험하지 못한 다양한 경험과 활동을 체험 하고 싶은 청소년
-모집정원 : 보령시내지역 4, 5, 6학년 청소년 40명
-참가비용 : 전액무료 (단, 교재비는 개인부담)
-신청방법 : 보령시청소년수련관내 3층 청소년 방과후 아카데미 (또는 사회복지과 아동청소년팀)
-방문신청 (041-930-3257)

[사업내용]
-학습지원활동, 자기개발활동, 전문체험활동, 특별지원, 생활지원과정으로 구성
-토요체험활동 (주 1회 주말체험활동, 주 2회 자율체험활동 운영)
-체험활동의 날 : 공연관람, 요리하기, 축제참가, 공예활동 등 다양한 문화활동을 실시
-관계형성의 날 : 또래관계 형성 및 협동심과 리더십을 향상 시킬 수 있는 팀워크 활동
-봉사의 날 : 장애우, 양로원, 청소활동 등을 통해 타인을 이해할 수 있는 마음을 넓히고 나도 누군가에게 필요한 존재임을 느낄 수 있음
-지역연계활동: 지역사회와의 연계를 통한 다양한 활동을 실시",https://www.brcn.go.kr/welfare/sub05_04.do,
,,,,청소년보호육성_청소년어울림마당,청소년 어울림마당에 대해 알려줘,"청소년 어울림마당이란?
청소년 어울림마당 사업개요?
청소년 어울림마당 운영기간은?
청소년 어울림마당 운영장소는?
청소년 어울림마당 운영내용은?","[청소년어울림마당]
청소년들의 문화적 감성함양과 역량개발을 지원하는 시설, 조직, 프로그램 등으로 구성된 인프라로서 상시적으로 활동할 수 있는 지역적 공간
-청소년 : 청소년어울림마당의 주인공이며 사업의 주체
-문화 : 다양한 청소년문화와 프로그램의 자원으로서의 콘텐츠 (체험, 공연, 전시 등)

[사업개요]
-운영기간 : 4월 ~ 11월 (월 1회 토요일 운영)
-운영장소 : 대천천 및 대천해수욕장
-운영주최 : 여성가족부, 보령시
-운영주관 : 보령시청소년상담복지센터

[운영방향]
-청소년 및 시민들이 함께 참여하는 체험활동 위주
-청소년들의 끼와 재능을 알릴 수 있는 문화마당의 장으로 운영
-참가신청: 보령시청소년상담복지센터 / 041-936-5710

[운영내용]
**표**
구분	내용
공연마당	청소년들이 참가하는 합창, 중창, 기악연주, 보컬, 힙합댄스, 응원댄스, 마술, 수화, 풍물놀이, 난타
등의 공연 프로그램
체험마당	청소년들이 체험할 수 있는 과학, 미술, 애니메이션, 페이스페인팅 코스프레 등의 전시 및 체험
프로그램 등
놀이마당	청소년과 시민들이 함께 할 수 있는 레크리에이션 프로그램
**",https://www.brcn.go.kr/welfare/sub05_05.do,
,,,장애인,장애생활안정지원_장애인연금,장애인 연금에 대해서 알려주세요,"장애인 연금 수령 대상은?
장애인 연금 수령 등급은?","[장애인 연금]
-대상 : 만18세이상의 등록한 중증장인 중 본인과 배우자의 소득인정액이 선정기준 이하인 자
-소득기준 : 1인 (단독) 93만원 이하, 2인 (부부) 148만8천원
-장애등급 위탁심사 (국민연금광리공단에서 심사)
-장애등급 : 장애등급 1급, 2급 또는 3급 중복장애",https://www.brcn.go.kr/welfare/sub06_01.do,
,,,,장애생활안정지원_장애인연금지급내역,장애인 연금 지급 내역에 대해서 알려줘,"장애인 연금 지급 내역은?
","[장애인연금 지급내역]
**표**
예산액
(천원)	부가급여	연령	기초급여	부가급여
단독	부부인경우
1인수급	2인모두수급
2,607,523	기초 (재가)	18 ~ 64세	200,000	160,000	8만원
65세이상	-	-	28만원
기초
(보장시설)	18 ~ 64세	200,000	160,000	0
65세이상	-	-	7만원
차상위계층	18 ~ 64세	200,000	160,000	7만원
65세이상	-	-	7만원 ~ 14만원
차상위초과	18 ~ 64세	200,000	160,000	2만원
65세이상	-	-	4만원
**",https://www.brcn.go.kr/welfare/sub06_02.do,
,,,,장애생활안정지원2,장애생활안정지원에 대해 알려줘 ,"장애수당 대상 알려줘
월세거주 장애인주거비 대상 알려줘
부부장애수당 대상 알려줘
중증장애인 가구월동비 대상 알려줘
","[장애수당]
-대상 : 만18세이상의 등록한 장애인 중 3급 ~ 6급의 장애등급을 가진자로 기초생활수급자 및 차상위계층

[월세거주 장애인주거비]
-대상 : 세대주가 등록장애인인 월세거주 장애인가구

[부부장애수당]
-대상 : 부부가 장애인으로 등록된 세대

[중증장애인 가구월동비]
-대상 : 국민기초생활보장법에 의한 수급자 및 차상위계층의 중증장애인 가구
-신청방법 : 본인 또는 신청의 대리 (신청인의 가족이나 친족 및 그 밖의 관계인)",https://www.brcn.go.kr/welfare/sub06_03.do,
,,,,장애생활안정지원_장애인 수당 지급내역,장애인 수당 지급내역을 알려줘,장애인 수당 예산액 내역 알려줘,"[장애인 수당 지급내역]
**표**
예산액
(천원)	수당구분	내역
151,000	지자체 급여	장애인연금대상자 월 12,000원
584,000	장애수당	기초	수급자 중 경증 월 40,000원
차상위	차상위계층 중 중증 월 40,000원
시설	중증 70,000원, 경증 20,000원
장애아동수당	기초	만18세미만 중증 200,000원, 경증 100,000원
차상위	만18세미만 중증 150,000원, 경증 100,000원
시설	만18세미만 중증 70,000원, 경증 20,000원
237,347	월세거주수당	가구 / 월 35,000원
168,000	부부장애수당	가구 / 월 35,000원
92,000	중증장애인 월동비	연2회 가구 / 65,500원 (11월, 1월)
**",https://www.brcn.go.kr/welfare/sub06_04.do,
