대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL)
,,,,시설안내,여성인력센터 시설 안내 해주세요,"여성인력센터 4층에 뭐가 있나요?
여성인력센터 5층 시설 알려주세요","보령여성인력개발센터에서는 여러 전문직업교육을 위한 강의실과 바리스타실, 조리실, 제과제빵실, 전산실 등의 시설을 갖추고 있습니다.

시설현황

4층 4층1강의실 ,4층2강의실, 4층3강의실, 4층4강의실, 제과제빵실, 바리스타실
5층 5층5강의실, 5층6강의실, 5층7강의실, 5층상담실1, 5층상담실2, 전산실

",
,,,,오시는길,여성인력센터 가는 길 알려주세요,여성인력센터 주소랑 연락처 알려주세요,"주소 및 연락처

주소 : 충청남도 보령시 한내로 11 (동대동)
연락처 : 041-935-9663 Fax. 041-935-2663
e-mail : brjob@hanmail.net",
,,,교육프로그램_과정별안내,국비 지원사업,국비 지원사업 뭐가 있는지 알려주세요,국비 지원사업 뭐있는지 알고싶어,http://www.brjob.or.kr/sub2/sub2.aspx,
,,,,기타 지원사업,기타 지원사업은 어떤게 있나요?,기타 지원사업 종류 알려주세요,http://www.brjob.or.kr/sub2/sub3.aspx,
,,,,일반유료훈련,일반 유료훈련은 어떤 종류가 있나요?,일반 유료훈련은 어떤게 있나요?,http://www.brjob.or.kr/sub2/sub4.aspx,
,,,,수강신청안내,수강신청에 대해 안내해주세요,"수강신청 방법 알려줘
수강신청 안내 해주세요
온라인 입금 안내해주세요
입금 계좌번호 알려주세요","보령여성인력개발센터에서 실시하는 교육의 신청을 원하시는 분들은 방문, 전화, 팩스·메일을 통해 신청접수가 가능합니다.

 수강신청안내

모든 과정은 전화, 방문을 통해 사전접수하셔야 하며, 교육시작일 2일 전까지 수강료가 입금되어야 합니다.
실업자 내일배움카드제, 근로자 직업능력개발훈련 과정은 개인에 따라 본인부담금이 다를 수 있으므로, 본인부담금 확인 후
    교육시작일 2일 전까지 입금해주시기 바랍니다.
교육일정은 센터사정에 따라 폐강 또는 연기될 수 있으며, 이 경우 수강료는 전액환불 가능합니다.

 수강신청방법

 방문접수
센터에 내방하여 수강신청서를 작성하고 수강료 결제

 전화접수
- 전화번호 : (041)935-9663
- 전화로 수강신청서 작성 후 수강료 입금

 팩스, 이메일 접수
- FAX : (041)935-2663
- E-mail : brjob@hanmail.net
- 수강신청서를 팩스나 메일로 전송 후 수강료 입금


 온라인 입금안내

신협 계좌 : 131-005-560725 예금주 : (사)온터두레회 보령여성인력개발센터",
,,,,환불안내,환불안내 해주세요,환불 규정 알려주세요,"소비자분쟁해결기준(공정거래위원회고시 제 2018- 2호)과 학원영업 및 평생교육 시설 운영법에 의해 아래와 같은 환불규정을 적용하고
있습니다.

 보령여성인력개발센터 환불규정

61. 학원운영업 및 평생교육시설운영업(2개업종)
분쟁유형 해결기준 비고
1) 사업자가 다음의 부당행위를 하였을 때 수강자가 이 사실을 안 후 지체 없이 계약해제 요구
- 허위·과장광고에 의한 수강계약 체결
- 정원을 초과한 수강생 모집 및 교습
- 무자격 또는 자격미달강사에 의한 교습
(단, 강사의 자격기준은 학원법, 평생교육법 등 관련법령에 의함) - 계약해제 및 수강료 전액환급
- 계약해제 및 수강료 전액환급
- 계약해제 및 수강료 전액환급 ※ 계약시 수강료와 교재비 등을 따로 기재하여 고지하여야 한다.
2) 사업자가 위 각호의 부당행위를 하였을 때 수강자가 계속 수강하다가 계약해제 요구 - 잔여기간에 대한 수강료 환급 일할(日割)계산
3) 수강기간도중 학원인가 또는 등록취소, 일정기간 교습정지 등 행정처분이나 학원의 이전, 폐강, 기타 사업자의 사정으로 인한 수강불능 - 잔여기간에 대한 수강료 환급 일할(日割)계산하여 사유발생일로부터 5일 이내에 환급함.
4) 소비자의 귀책사유로 인한 계약해제 및 해지
① 교습개시전

② 교습개시후
- 교습기간이 1월 이내
  총 계약기간의 1/3 경과 전
  계약기간의 1/2 경과 전
  계약기간의 1/2 이후

- 수강료징수기간이 1월 초과
- 기 납부한 수강료 전액 환급



- 수강료의 2/3 해당액 환급
- 수강료의 1/2 해당액 환급
- 미환급

- 반환사유가 발생한 당해 월의 반환 대상 수강료(수강료 징수기간이 1월 이내인 경우에 따라 산출된 수강료를 말함.)와 나머지 월의 수강료 전액을 합산한 금액 ※ 총 교습시간은 교육기간중의 총 교습시간을 말하며 반환금액의 산정은 반환사유가 발생한 날까지 경과된 교습시간을 기준으로 함.

※ 단, 학습자의 원에 의한 반환사유 발생일은 반드시 학습자의 <환불신청서> 접수일 기준임
반환사유 발생일 : 센터에 환불신청서로 환불요청을 한 날을 말함. (전화, 구두상의 요청은 인정되지 않음)
카드수납의 경우 : 개강전 환불은 전액환불, 개강 후 환불은 위의 규정을 적용",
,,,여성새로일하기센터,여성새로일하기센터,여성 새로일하기센터가 뭐야?,"여성 새로일하기 센터에 대해 알려줘
여성 새로 일하기 센터에 어떤 프로그램이 있는지 알려줘","여성새로일하기센터

여성새로일하기센터(새일센터)는 혼인·임신·출산·육아 등으로 경력이 단절된 여성에게 취업상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 종합적인 취업지원 서비스를 ONE-STOP으로 제공하는 여성가족부·고용노동부 지정 기관입니다.


 여성새로일하기센터 사업

집단상담 프로그램 : 자기탐색과 진로설계를 통한 맞춤식 취업준비 프로그램
직업훈련 프로그램 : 전문 커리큘럼과 강사풀로 구성된 여성전문 직업훈련
찾아가는 취업지원서비스 : 취업희망 여성 및 구인기업 발굴(연 12회 이상)
새일여성인턴제 : 직업적응 프로그램으로 기업체에 인턴채용 지원금 지원
취업연계 및 사후관리 서비스 : 사후관리 상담 및 고용유지를 위한 고충상담, 여성친화기업협약 등
 ",
,,,,세일여성인턴십,새일 여성 인턴십이 뭐에요?,"새일여성인턴십 신청에 대해 알고싶어요
새일여성인턴십 지원대상 알려줘
새일여성인턴십 신청서류 알려줘","새일여성인턴/결혼이민여성인턴

새일여성인턴십은 경력단절여성 및 결혼이민여성에게 직장체험 및 업무적응의 기회를 제공하고, 여성인력이 필요한 기업에게는 맞춤알선서비스와 인턴채용 지원금을 지원하는 사업입니다.

(새일여성인턴) 장기간 직장으로부터 이탈된 경력단절여성이 취업 후 직장에 적응할 수 있도록 지원
(결혼이민여성인턴) 결혼이민여성의 경제 자립 지원과 지역 사회 내 일자리 연계를 통해 다문화 가족의 삶의 질 향상에 기여하고 취업 후 직장에 적응할 수 있도록 지원

신청기간 : 1월~ 채용지원금 예산 소진시까지
인턴대상 : 새일센터에 구직 등록(필수)한 미취업 여성
인턴기간 : 3개월
지원내용 : 참여기업 - 인턴지원금 : 인턴 3개월간 80만원씩 = 총 240만원
                                   - 고용장려금 : 인턴 종료 후 상용직·정규직 전환으로 6개월 고용유지 시 80만원 지원
                     참 여 자 - 인턴종료 후 6개월 고용유지 시 60만원 지원
채용조건 : 전일제근무
                     새일여성인턴(주당 35시간 이상) / 결혼이민여성인턴(주당 30시간 이상)

 지원대상 및 신청서류

구분 인턴 참여자 인턴 참여업체
지원대상 미취업여성
(새일센터 구직등록 필수)
보령 지역 내 소재 사업장으로
상시근로자 5인 이상의 4대보험 가입기업체
신청서류 구직신청서, 인턴참여신청서 구인신청서, 사업자등록증 사본

※ 신청서 양식은 자료실에 있습니다.
※ 신청서를 작성하셔서 팩스나 이메일로 접수하면 확인 후 연락드립니다.
문의전화 : 041)935-9663(내선2)
팩스번호 : 041)932-8913
전자메일 : brjob@daum.net
 ",https://www.brcn.go.kr/kor/sub05_07_02.do
,,,,찾아가는 취업지원서비스,찾아가는 취업지원서비스에 대해 알려줘,"찾아가는 취업지원서비스는 어디서 하나요?
찾아가는 직업상담에 대해서 알려줘
이마트 보령점 직업상담 가능 시간 알려주세요
홈플러스 보령점 직업상담 가능 시간 알려주세요","
센터를 방문하기 어려운 분, 인터넷이나 기타 매체의 정보접근성이 떨어지는 분들을 취업전문가인 취업설계사가 직접 찾아가서 구인·구직 상담 및 취업지원서비스를 제공합니다.
또한, 여성의 왕래가 많은 장소에서 직업상담 및 취업정보제공 및 개인별 맞춤형 취업알선 및 교육을 제공합니다.

 이동 구인·구직 상담, 훈련 및 직업정보제공

 찾아가는 직업상담

이마트,홈플러스 (보령점) / 아파트단지 및 관리사무소/ 읍,면,동사무소/ 보령장터
[월 2회]
이마트 보령점
매주 둘째 금요일 15:00~17:00
홈플러스 보령점
매주 셋째 목요일 15:00~17:00
*센터 취업상담사가 항상 기다리고 있습니다.",
,,,,집단상담프로그램,집단상담프로그램에 대해 알려줘,"집단상담프로그램 교육대상 알려줘
집단상담프로그램 교육특전은 뭐야?
집단상담 프로그램 내용 알려줘
집단상담 프로그램 신청서류는?","집단상담 프로그램 운영

미취업 여성들의 구직준비 필수코스
취업 자신감 회복 및 취업정보 제공
전문 직업상담을 통한 진로설정

 교육대상

경력단절 여성 및 미취업 여성 누구나 가능(고용보험 가입자 또는 사업자등록증 소지자 제외)

 교육특전

교육비 전액무
구직활동 2회 인정
수료 후 맞춤식 취업연계
수료증 발급
정부지원 직업교육훈련 우선참여
새일여성인턴 우선연계
간식 및 중식제공

 프로그램 내용

구분 새일스타트 새일플러스
대상 새로운 경력을 형성하고 취업을 준비하는
진로 미설정 경력단절여성 과거 경력을 바탕으로 신속히 재취업을 원하는
진로 설정 경력단절여성
내용 · 1일 : 나의 취업동기
· 2일 : 직업세계 변화와 재취업 직종
· 3일 : 나의 성향 알아보기
· 4일 : 재취업 준비
· 5일 : 새로운 출발 · 1일 : 취업 희망분야 살펴보기
· 2일 : 재취업 걸림돌 극복하기
· 3일 : 효과적인 일자리 정보탐색
일정 5일(총 20시간)
월-금 9:30~13:30 3일(총 12시간)
월-수 9:30~13:30
인원 15명 이내 10명 이내

 신청서류

신청서(센터 소정 양식), 증명사진2매
※ 신청서양식은 자료실에 있습니다.

 접수문의

041)935-9663(내선2)
 ",https://www.brcn.go.kr/kor/sub05_07_02.do
,,,청년내일채움공제,취업성공패키지,취업성공패키지에 대해 알려주세요,"취업성공패키지 참여대상자는 누구야?
취업성공패키지 취업지원프로그램 알려줘
취업성공패키지 취업지원수당 알려줘
취업성공패키지 신청방법 알려줘
취업성공패키지 지원대상자 제외기준은?","취업성공패키지란?

고용노동부가 취업에 어려움을 겪는 구직자를 위해 운영중인 맞춤형 취업지원 서비스로 '진단·경로설정→의욕·능력증진→집중 취업알선'에 이르는 통합적인 취업지원 프로그램을 제공하는 종합적인 취업지원체계입니다.

 참여대상자

중장년층(Ⅱ) : (만35세~69세) 중위소득 100%이하인 가구 구성원(건강보험료 기준)
※ 확인자료 : 건강보험 자격확인서, 건강보험 납부확인서(최근 3개월, 건강보험공단 확인 1577-1000)
유형구분 보험구분 1인가구 2인가구 3인가구 4인가구 5인가구 6인가구
건강보험료
부과액(상한액) 저소득층 구분없음 31,302 53,298 68,949 84,599 100,250 115,901
중장년층 직장 52,170 88,829 114,914 140,999 167,084 193,169
지역 62,604 106,595 137,897 169,199 200,501 231,803
※ 실업급여 수급 중에는 취업성공패키지 참여 불가(종료 이후 참여 가능)
중장년층(Ⅱ) : 만18세~34세 고졸이하 및 대졸이상 미취업자, 최종학기(대학), 학년(고교)재학생
※ 청년층 참여자는 건강보험료 소득요건 확인대상 아님, 참여 전 자가진단(http://www.work.go.kr/pkg/young) 실시
※ 신청시 제출서류 : (공통)최종학교 졸업(재학, 제적)증명서, 보호자 또는 학교장 확인서 제출

 취업지원프로그램



 취업지원수당



 신청방법

취업성공패키지 신청방법
신청방법 : 직접 방문 또는 전화문의
                 TEL : 041-935-9663(내선 3번) FAX : 041-935-2663
신청장소 : 충남 보령시 한내로 11(신협5층) 보령여성인력개발센터
신청서류 : 취업성공패키지 참가신청서
증빙서류 : 중장년층 – 신분증, 건강보험 자격확인서, 건강보험 납부확인서(최근 3개월)
                 청년층 – 신분증, (공통)최종학교 졸업(재학, 제적)증명서, 보호자 또는 학교장 확인서)
참       고 : 고용노동부 홈페이지 www.moel.go.kr
                 (정보마당 → 주요정책정보 → 고용서비스 → 취업성공패키지)



취업성공패키지 지원대상자 제외기준
- 실업급여 수급자로 수급기간 종료일로부터 1개월이 경과하지 않은 자
- 취업성공패키지에 참여하여 종료, 중단 조치를 받은 날로부터 1년이 경과되지 않은 자
- 정부재정지원 일자리 사업 참여자, 고용노동부 및 타 부처(지방자치단체 포함)의 취업지원프로그램에 참여중인 자
- 주당 소정근로시간 30시간 이상의 일자리에 취업하고 있는 자",
,,,,지원대상,청년내일채움공제 지원대상 알려줘,"청년내일채움공제 지원대상은?
청년내일채움공제 청년 지원대상 알려줘
청년내일채움공제 기업 지원대상 알려줘","지원대상

 • 정규직 취업일 현재 만 15세 이상 만 34세 이하자로서 고용보험 최초취득자
  (군필자의 경우 군복무기간 비례하여 연동 적용 만 39세로 한정)
• 최종학교 졸업 이후 고용보험 가입 기간이 12개월 이하인자
  (12개월 초과자는 6개월 실직기간 적용)
• 청년공제와 지원대상, 목적, 지원방식 등이 유사한 자산형성사업 참여자는 중복참여 불가
• 참여제한 : 사업자등록증 소지자, 청년공제 1회 이상 가입했던 자,
  월급여 총액 350만원 초과자, 소정근로시간 주 30시간 미만자등


• 고용보험 피보험자수 기준 5인 이상의 중소·중견기업
   (지식서비스산업, 문화콘텐츠산업에 해당되는 경우 5인 미만 사업장도 가능하나 소비향략업등
    일부업종 및 비영리법인은 지원 제외)
• 기업의 청년 채용조건
   - 주 30시간 이상의 정규직 채용, 최저임금 이상 지급
• 3년형의 경우 ‘뿌리산업’에 해당할 경우만 가능(뿌리기업 확인서 제출)
   ※뿌리산업이란? 주조, 금형, 소성가공, 용접, 표면처리, 열처리등의 뿌리기술을 활용하여
     사업을 영위하는 업종이거나 뿌리기술에 활용되는 장비 제조업종
     (「뿌리산업 진흥과 첨단화에 관한 법률」 제 2조)",
,,,,지원내용,청년내일채움공제 지원내용 알려줘,"청년내일채움공제 지원내용은?
청년내일채움공제 청년 지원내용 알려줘
청년내일채움공제 기업 지원내용 알려줘","지원내용

 • 본인, 정부, 기업(정부지원)의 공동적립을 통해 본인납입금 대비 약 5배 수령으로 미래설계
  기반 마련
• 최소 2~3년 동일 사업장에서 근무하면서 실직적 경력 형성의 기회
• 만기 후 중소벤처기업부의 내일채움공제(3~5년)로 연장가입 시 최대 8년의 장기적인
  목돈마련가능


• ‘인재육성형 전용자금’ 지원 대상으로 편입 등 중소벤처기업부 49개 사업 참여 시 혜택
• 잦은 이직으로 인해 인력난이 심각한 중소기업은 우수인력을 고용유지 할 수 있는 기회

 ",
,,,,2년형 청년내일채움공제 적립 구조,2년형 청년내일채움공제 적립구조 알려줘,"2년형 청년내일채움공제 적립구조 청년에 대해 알려줘
2년형 청년내일채움공제 적립구조 기업에 대해 알려줘","2년형 청년내일채움공제 적립 구조

청년 : 2년형 만기 시 1,600만원+@이자 목돈마련 (본인납입금: 월 125,000원씩 300만원 적립)
기업 : 기업기여금 400만원 (400만원은 청년에게 자동적립, 50만원은 기업순지원금)

지원금 지급 회차
(공제가입일=청약승낙일) 1회차
(1M) 2회차
(6M) 3회차
(12M) 4회차
(18M) 5회차
(24M) 계 총지원금
고용부 -> 청년 75만원 150만원 225만원 225만원 225만원 900만원 청년
900만원+400만원
고용부 -> 기업 기여금 45만원 70만원 95만원 95만원 95만원 400만원
순지원금 10만원 10만원 10만원 10만원 10만원 50만원 기업 50만원
 ",https://www.brcn.go.kr/kor/sub05_07_02.do
,,,,3년형 청년내일채움공제 적립 구조,3년형 청년내일채움공제 적립구조 알려줘,"3년형 청년내일채움공제 적립구조 청년에 대해 알려줘
3년형 청년내일채움공제 적립구조 기업에 대해 알려줘","
 3년형 청년내일채움공제 적립 구조

청년 : 3년형 만기 시 3,000만원+@이자 목돈마련 (본인납입금: 월 165,000원씩 600만원 적립)
기업 : 기업기여금 600만원 (600만원은 청년에게 자동적립, 70만원은 기업순지원금)

지원금 지급 회차
(공제가입일=
청약승낙일) 1회차
(1M) 2회차
(6M) 3회차
(12M) 4회차
(18M) 5회차
(24M) 6회차
(30M) 7회차
(36M) 계 총지원금
고용부 -> 청년 150만원 175만원 225만원 250만원 325만원 325만원 350만원 1800만원 청년
1800만원+600만원
고용부
-> 기업 기여금 50만원 50만원 75만원 100만원 100만원 100만원 125만원 600만원
순지원금 10만원 10만원 10만원 10만원 10만원 10만원 10만원 70만원 기업 70만원
 ",
,,,,신청기한/신청방법,청년내일채움공제 신청기한과 신청방법을 알려줘,"청년내일채움공제 신청기한 알려줘
청년내일채움공제 신청방법 알려줘","신청기한

정규직 채용일 기준 6개월 이내만 청약 가능

 신청방법

워크넷 가입 신청: http://www.work.go.kr/youngtomorrow 에서 청년과 기업이 각각 온라인 신청
    - 가입 신청 시 해당 참여유형 (2년형 또는 3년형) 확인 후 내용 작성하고 운영기관은 ‘(사)온터두레회 보령여성인력개발센터’를
      선택 후 신청 완료
청약 신청: http://sbcplan.or.kr/ 에서 기업이 먼저 신청 후 청년이 청약 신청
    - 청약 신청은 공제 참여 요건에 해당하는 청년과 기업만 가능

",
,,,취업지원,구인/구직등록 절차,구인/구직등록 절차 알고싶어요,"구인 절차 알려줘
구직등록 절차 알려줘 "," 구인신청절차
이메일,팩스, 방문 -> 이메일,팩스,방문을 통해 사업자등록증 사본제출->구인싱청서 제출 -> 근로조건, 기재누락, 허위기재사항 확인 후 구인표 접수

구직 신청절차
센터방문 -> 구직자 기초상담(구직자유형별 분류) -> 구직표작성 -> 구직표 접수(등록)

 구인표 서식

열린공간 -> 자료실/서식 -> 구인표

 신청 및 문의사항

041-935-9663(내선2번)/ FAX: 041-935-2663/ 이메일: brjob@hanmail.net


 ",
,,건강가정다문화가족지원센터,조직도,조직/구성원,건강가정 다문화가족지원센터 조직도 알려줘,건강가정 다문화가족지원센터 구성원 알려줘,"
양수정센터장센터장

- 센터총괄
조직/구성원 이미지
오현정선임기본사업팀

- 기본사업
- 법인지원사업
조직/구성원 이미지
한아름선임기본사업팀

- 기본사업
- 방문지도사업
- 결혼이민자 역량강화지원사업(한국어교육)
조직/구성원 이미지
박희숙선임기본사업팀

- 기본사업
- 후원사업
- 지역연계사업
조직/구성원 이미지
이라진팀원기본사업팀

- 기본사업
- 가족상담
조직/구성원 이미지
박슬기팀원기본사업팀

- 기본사업
- 센터 운영 및 예산
조직/구성원 이미지
윤영웅팀원기본사업팀

- 기본사업
조직/구성원 이미지
류하나팀원기본사업팀

- 사무행정 및 회계
조직/구성원 이미지
김지혜팀원어울림사업팀

- 다문화어울림사업
- 세계시민교육
- 다문화이해교육
조직/구성원 이미지
고다예팀원특성화팀

- 언어발달지도사업
조직/구성원 이미지
진빛나팀원특성화팀

- 베트남 통번역지원사
조직/구성원 이미지
김사랑팀원특성화팀

- 공동육아나눔터 관리 및 운영
조직/구성원 이미지
우창식팀원특성화팀

- 가족역량강화지원사업
조직/구성원 이미지
나혜진팀원특성화팀

- 아이돌봄지원사업 행정지원",
,,,찾아오시는길,오시는길,건강가정 다문화가족지원센터 주소 알려주세요,"건강가정 다문화가족지원센터 찾아가는 길 알려줘
건강가정 다문화가족지원센터 전화번호 알려줘","보령시 건강가정·다문화가족지원센터

(33433) 충청남도 보령시 한내로 45 문화빌딩 2층 (동대동)
대표전화 : 041-936-8506
상담전화 : 041-934-0033
아이돌봄 : 041-935-0131
팩스 : 041-936-8596
brcenter19@naver.com",
,,,프로그램안내,프로그램목록/프로그램일정,프로그램 목록/ 일정 알려줘,"프로그램 목록 알려줘
프로그램 일정 알려줘","프로그램 목록 :https://boryeong.familynet.or.kr/center/lay1/program/S295T322C324/receipt/list.do
프로그램 일정
https://boryeong.familynet.or.kr/center/lay1/program/S295T322C323/receipt/calendar.do

",https://www.brcn.go.kr/kor/sub05_07_05_01.do
,,,사이버상담,사이버상담,건강가정 다문화가족지원센터 사이버상담 하고싶어요,건강가정 다문화가족지원센터에 상담 연결해주세요,https://boryeong.familynet.or.kr/center/lay1/bbs/S295T325C434/G/10/list.do,https://www.brcn.go.kr/kor/sub05_07_05_02.do
,,,돌봄공동체,지원사업소개,돌봄공동체가 뭐에요,"돌봄공동체 설명해줘
돌봄공동체 유형으나 뭐가있어?
돌봄공동체 돌봄대상은 누구야?
돌봄공동체 운영시간은?
돌봄공동체 돌봄장소는?","공동체 유형으로는

품앗이형 :지역의 공동육아나눔터 등을 기반으로 조성되어
돌봄 활동을 하는 부모 자조 모임 및 품앗이 그룹 등

마을 공동체형 : 부모 및 지역 주민이 마을의 커뮤니티 공간*을 기반으로 돌봄 활동과 돌봄을 매개로 한 지역 사회 활동을 하는 공동체 등
* 북카페, 마을카페, 마을밥상, 마을농장, 쉼터, 녹색가게 등

주민 경제조직형 : 돌봄 활동을 하는 비영리 민간 단체, 협동 조합, 마을 기업, 자활 기업, (예비) 사회적 기업 등 지역 주민이 주도하는 사회적 경제 조직 등

돌봄대상은 만 0세 ~ 만 12세 이하 돌봄이 필요한 모든 아동

운영시간은 지역별·구성원별 틈새 돌봄 시간에 따라 주중/주말 자유롭게 운영합니다.

돌봄장소는 지역 주민이 함께 육아에 참여할 수 있는 공간이면 어디나 가능합니다.
* 공동육아나눔터, 마을 카페, 마을 농장, 작은도서관, 경로당, 마을회관, 아파트 유휴 공간, 체험학습장 등

프로그램은 학습·놀이·체험, 등하교 지원, 급식 지원 등이 있습니다. ",https://www.brcn.go.kr/kor/sub05_07_05_03.do
,,보건정보,보건소소개,업무안내,보건소에서 하는 업무안내 해주세요,"보건소에서 하는 업무안내 해줘
","보 건 행 정 팀
보건소 소관 업무의 종합 계획 수립ㆍ조정ㆍ총괄
보건기관 지도 감독
직원 복무관리에 관한 사항
예산운영 및 회계 관리
의료장비 및 물품 관리
공중보건의사 복무 지도 감독
문서 및 공인관리
지역 보건의료계획 수립 · 평가에 관한 사항
농어촌 의료 서비스 개선 사업
보건정보시스템 운영 · 관리
각종 보건통계연보에 관한 사항
관용차량 관리 운영
청사관리에 관한 사항
보건지소, 보건 진료소 운영지원
소내 타과 및 과내 타 담당에 속하지 않은 사항
감 염 병 관 리 팀
방역대책 수립 및 시행
급 · 만성 감염병 예방관리사업
예방접종
결핵 · 한센병 · 성병 · AIDS 관리
임상검사업무에 관한 사항
신종감염병 예방관리
소독업 허가 지도 및 소독의무대상시설관리 업무
의 약 팀
의약업소 인 · 허가 및 지도단속
화장품 및 안정상비의약품 판매 업소 관리 업무
마약, 향정신성 의약품, 대마관리
무허가 · 부정의약업자 단속
응급의료 및 재난 관리
장기기증에 관한사항
안경업소 개설등록 및 지도감독
의료기관 세탁물 등 처리에 관한 사항
의료 유사업자, 안마시술소의 인 · 허가 및 지도감독
진단용 방사선 발생 장치 신고 및 지도감독
충무계획 수립 시행에 관한 사항
건강진단 등 신고에 관한 사항
진     료     팀
보건소 · 보건지소 환자 진료 및 치료에 관한 사항 (내과 · 치과 · 한방 · 물리치료)
전염병 환자 진료에 관한 사항
건강진단서 등 제증명 발급
발전소 주변지역 주민 건강검진비 지원 사업
원격 영상진료서비스 운영
의료비 및 기타 의료 수가의 징수
진료약품 · 소모품 · 기자재관리
방사선 검사에 관한 사항
일반건강검진 (지역 · 직장 · 의료급여)
학생 건강검진 및  영유아 구강검진
위     생     팀
식품첨가물제조, 식품제조가공, 즉석판매제조
건강기능식품판매, 건강기능식품수입업, 식품판매 신고, 변경 및 업종 관련업무 처리
부정 · 불량식품 유통 관리 및 수거검사
유흥주점, 단란주점, 휴게음식점 영업허가
제과점영업, 위탁급식영업, 식품자동판매기
집단급식소신고 및 운영관리
공중위생업종(숙박, 이용, 세탁, 목욕, 위생관리, 위생처리업) 영업신고, 변경 및 관련업무 처리
이 · 미용사 면허관리
식중독 관련업무 처리
일반음식점 영업신고, 변경 및 관련업무 처리
조리사 면허
건 강 증 진 팀
지역사회 통합건강증진 사업 운영에 관한 사항
건강생활 실천사업에 관한 사항
국민건강 영양조사
지역사회 중심 금연사업 운영에 관한 사항
구강보건사업 운영에 관한 사항
노인건강증진 프로그램 운영에 관한 사항
방 문 보 건 팀
맞춤형 건강관리 사업에 관한 사항
거동불편자 방문진료에 관한 사항
보호자 없는 병실 간병비 지원 사업
암관리사업 (국가 암 검진, 암환자 의료비 지원, 재가 암 환자 관리)
만성질환관리사업 (심혈관계질환 등)
생애전환기 건강검진사업
희귀 · 난치성 질환자 의료비 지원
재활사업(노인 · 장애인 등)
진폐환자 의료비 지원
취약계층 공공의료지원(관절 · 척추질환 · 개안수술)
정 신 건 강 팀
정신건강증진 사업
정신건강증진센터 운영
아동청소년 정신건강사업
중독예방사업
재가정신질환자 치료비지원
자살예방사업
자살고위험군멘토링사업
생명사랑 행복마을 운영
모 자 보 건 팀
가임기 여성 및 임산부 건강관리 지원 사업
산모 · 신생아 건강관리 지원 사업
저소득층 기저귀 · 조제분유 지원 사업
난임부부 시술비 지원 사업(인공 · 체외 수정 시술비)
고위험 임산부 의료비 지원 사업
청소년 산모 임산 · 출산 의료비 지원 사업
임산부 · 영유아 영양플러스 지원 사업
아토피 · 천식 예방관리 사업
미숙아 · 선천성이상아 · 선청성 대사이상아 의료비 지원 사업
신생아 청각선별검사 지원
취학전 아동 실명예방 사업
영유아 건강검진
치 매 관 리 팀
치매 상담센터 운영
치매 조기검진 사업
치매 입원 환자 간병비지원
치매 노인 위치추적 단말기 보급 및 의식표 지원
치매환자 및 요실금질환자 간호용품 지원",http://tour.brcn.go.kr/tour/sitemap_12.do?returnUrl=/prog/tourGuideBook/tour/sub05_06/form.do
,,,직원안내,보건행정과,보건행정과 직원 안내 해주세요,보건행정과 직원번호 알려줘,https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_01/4510230/list.do,https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_01/4510231/list.do
,,,,건강증진과,건강증진과 직원 안내 해주세요,건강증진과 직원번호 알려줘,https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_02/4510134/list.do,https://www.brcn.go.kr/prog/deptOnPerson/health/sub01_06_02/4510135/list.do
,,,,"직원안내(지소,진료소)","지소,진료소 직원안내 해주세요","지소,진료소 직원번호 알려줘",https://www.brcn.go.kr/health/sub01_06_03.do,https://www.brcn.go.kr/health/sub01_06_04.do
,,,시설안내,1층/2층,보건소 시설안내 해주세요,"보건소 1층 시설안내 해주세요
보건소 2층 시설안내 해주세요","1층 이미지 :https://www.brcn.go.kr/images/specific/health/sub1/facil_img01.jpg
2층 이미지
https://www.brcn.go.kr/images/specific/health/sub1/facil_img02.jpg",https://www.brcn.go.kr/health/sub01_03.do
,,,,,,,,
,,,찾아오시는길,보령시보건소,보령시보건소 찾아가는길 알려줘,"보령시보건소 주소 알려줘
보령시보건소 전화번호 알려줘
보령시 보건소 이용안내해줘
보령시 보건소 운영시간 알려줘","주소 : 충남 보령시 남포면 보령남로 234

전화번호 : 041-930-0900,5910(보건행정과), 5960(건강증진과)

FAX : 041-930-5909(보건행정과), 041-930-5959(건강증진과)

이용안내
근무시간 : 월 ~ 금요일 09:00 ~ 18:00
※ 예방접종은 09:00 ~ 15:00 (성인 매일 / 영유아 월, 목)
점심시간 : 12:00 ~ 13:00",
,,,,보건지소/진료소,보령시 보건지소/진료소 주소 알려줘,,https://www.brcn.go.kr/health/sub01_04_02.do,https://www.brcn.go.kr/health/sub01_04_02.do
