대분류,중분류,소분류,질문명,대표질문,유사표현,답변,답변 출처 (URL),비고
산업/경제,보령시시설관리공단,환경기초,보령가축분뇨처리시설_찾아오시는길,보령가축분뇨처리시설 찾아오는길 안내 해주세요,"보령가축분뇨처리시설 위치 알려주세요
보령가축분뇨처리시설 교통편 알려주세요
","[위치안내]
주소 충남 보령시 천북면 삼산농현길 246

[문의상담]
041-641-1402

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 천수만교 방면
06:50∼22:00까지 일일 30회 운행(10km/20분)

시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,보령공공하수시설_시설안내,보령공공하수시설 시설안내 해주세요,"보령공공하수시설 시설현황 알려주세요
보령공공하수시설 관리 및 운영현황 알려주세요","[보령공공하수처리시설]
안전하고 쾌적한 시설 환경 조성을 위해 강에서 취수된 물은 우리들의 생활과 공장 등에서 사용하며, 사용된 물은 바다와 강으로 유입되고 바다의 물은 증발하여 구름을 만들고 구름은 비가 되어 내립니다. 이를 물의 순환이라고 하며, 하수처리장은 이 물의 순환시스템 중에서 우리들이 사용한 더러워진 물을 깨끗하게 처리하여 강과 바다로 되돌려 보내는 매우 큰 역할을 수행하고 있습니다.
처리시설의 안정적이고 효율적인 운영으로 방류수 수질기준 준수, 시설운영의 최적화를 도모하여 경쟁력 있는 사업장 구현을 위해 관리지침의 운전방법으로 적정하게 관리하여 시설물의 처리 기능을 충분히 발휘시키고 손상시키지 않도록 함과 동시에 시설을 보전시키기 위해 최신설비장비로 체계적인 관리를 수행하고 있습니다.

[시설현황]
위치 보령시 대천방조제로 322
처리용량 30,000톤/일
면적 부지면적 92,600㎡(28,000평) /
건축면적 : 4,620㎡(1,398평) 처리공법 표준활성슬러지 + SDPR공법(고도처리공법)
공사기간 1997. 9. 18 ~ 2001. 8. 25 총사업비 651억원(국비 275억 / 도비 77억 / 시비 174억)
처리구역 5.33㎢(보령시 대천1.2.3.4동지역, 주교면 신대리 일원)
보령처리구역이미지이며, 대천처리분구, 주교처리분구, 동재처리분구, 궁촌처리분구, 명천처리분구의 보령처리구역을 표시하고있다.",,
산업/경제,보령시시설관리공단,환경기초,보령공공하수시설_찾아오시는길,보령공공하수시설 찾아오는 길 알려주세요,"보령공공하수시설 주소 알려주세요
보령공공하수시설 교통편안내해주세요","[주소]
충남 보령시 대천방조제로 322

[문의상담]
041-936-1434

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 하수종말처리장 방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,보령분뇨처리시설_시설안내,보령분뇨처리시설 시설안내 해주세요,"보령분뇨처리시설에 대해 알려주세요
보령분뇨처리시설 일반현황 알려주세요","[보령분뇨처리시설]
분뇨를 정화하여 대천천에서 서해로 되돌려 보냄으로 수계의 안정화에 기여하고 있습니다. 분뇨는 발생량이 비해 오염부하량이 크기 때문에 미처리시에는 하천의 부영양화 등 많은 문제를 발생시키게 되므로 안정적인 처리를 통해 깨끗한 물을 공급하고 있습니다.

[시설전경]
처리시설의 안정적이고 효율적인 운영으로 방류수 수질기준 준수, 시설운영의 최적화를 도모하여 경쟁력 있는 사업장 구현을 위해 관리지침의 운전방법으로 적정하게 관리하여 시설물의 처리 기능을 충분히 발휘시키고 손상시키지 않도록 함과 동시에 시설을 보전시키기 위해 최신설비장비로 체계적인 관리를 수행하고 있습니다.
",,
산업/경제,보령시시설관리공단,환경기초,보령분뇨처리시설_찾아오시는길,보령분뇨처리시설 찾아가는 길 알려주세요,"보령분뇨처리시설 위치 알려주세요
보령분뇨처리시설 교통편 알려주세요","[주소]
충남 보령시 대천방조제로 322(보령공공하수처리장 내)

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 하수종말처리장 방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 대천_시설안내,대천배수펌프장 시설안내 해주세요,"대천배수펌프장 현황 알려주세요
대천 배수펌프장 면적 알려주세요","[대천배수펌프시설]
최근 심화되는 지구 온난화 현상으로 국지성 집중호우가 자주 내리므로 사전에 배수시설물에 대한 점검 및 철저한 준비로 피해 지역에 대한 신속한 대응체계 구축을 통해 피해를 예방하고 재난예방활동 및 방재 시설물관리에 최선을 다하여 소중한 시민의 생명과 재산의 피해 최소화를 도모하고 시민에게 안전한 생활을 영위할 수 있도록 시설관리에 만전을 기하고 있습니다.

[일반현황]
위치 보령시 대천방조제로 6
시설년도 1989년
부지면적 2,453㎡ 건축면적 지상1층(기계실) 208㎡, 지상2층(관리실) 39㎡
유역면적 60㏊(1,250가구 5,625명)
최대토출량 Q=18,000㎥/hr",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 대천_찾아오시는길,대천배수펌프장 찾아오는길 알려주세요,"대천배수펌프장 위치 알려주세요
대천배수펌프장 교통편 알려주세요","[주소]
충남 보령시 대천방조제로 6

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 대천역 방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 궁촌_시설안내,궁촌배수펌프장 시설안내 해주세요,"궁촌배수펌프장 일반현황 알려주세요
궁촌배수펌프장 현황도 알려줘","[궁촌배수펌프시설]
최근 심화되는 지구 온난화 현상으로 국지성 집중호우가 자주 내리므로 사전에 배수시설물에 대한 점검 및 철저한 준비로 피해 지역에 대한 신속한 대응체계 구축을 통해 피해를 예방하고 재난예방활동 및 방재 시설물관리에 최선을 다하여 소중한 시민의 생명과 재산의 피해 최소화를 도모하고 시민에게 안전한 생활을 영위할 수 있도록 시설관리에 만전을 기하고 있습니다.

[일반현황]
위치 충남 보령시 대해로 109
시설년도 2006년
부지면적 656㎡ 건축면적 지상1층(기계실) 91.2㎡, 지상2층(관리실)21.5㎡
유역면적 6㏊(748가구 2,076명)
최대토출량 Q=4,800㎥/hr",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 궁촌_찾아오시는길,궁촌배수펌프장 찾아가는 길 안내 해주세요,"궁촌배수펌프장 위치 알려주세요
궁촌배수펌프장 교통편안내 해주세요","[주소]
충남 보령시 대해로 109

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 보령경찰서 방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 동대_시설안내,동대배수펌프시설 시설안내 해주세요,"동대배수펌프시설 일반현황 알려주세요
동대배수펌프시설 시설현황 알려주세요
동대배수펌프시설 현황도 알려주세요","[동대배수펌프시설]
최근 심화되는 지구 온난화 현상으로 국지성 집중호우가 자주 내리므로 사전에 배수시설물에 대한 점검 및 철저한 준비로 피해 지역에 대한 신속한 대응체계 구축을 통해 피해를 예방하고 재난예방활동 및 방재 시설물관리에 최선을 다하여 소중한 시민의 생명과 재산의 피해 최소화를 도모하고 시민에게 안전한 생활을 영위할 수 있도록 시설관리에 만전을 기하고 있습니다.

[일반현황]
위치 충남 보령시 천변남길 291
시설년도 1997년
부지면적 250㎡ 건축면적 지상1층(기계실) 91.2㎡, 지상1층(관리실) 21.5㎡
유역면적 6㏊(600가구 1,650명)
최대토출량 Q=2,600㎥/hr",,
산업/경제,보령시시설관리공단,환경기초,배수펌프장3개소 동대_찾아오시는길,동대배수펌프시설 찾아오는길 안내 해주세요,"동대배수펌프시설 위치 알려주세요
동대배수펌프시설 교통편안내 해주세요
","[주소]
충남 보령시 천변남길 291

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 보령경찰서 방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,웅천공공하수처리시설_시설안내,웅천공공하수처리시설 안내 해주세요,웅천공공하수처리시설 시설현황 알려주세요,"[웅천공공하수처리시설]
보령시 웅천읍 일원의 공공수역 수질개선 및 지역 주민의 생활환경 개선을 목적으로 설치되었습니다. 안전하고 쾌적한 시설 환경 조성을 위해 강에서 취수된 물은 우리들의 생활과 공장 등에서 사용하며, 사용된 물은 바다와 강으로 유입되고 바다의 물은 증발하여 구름을 만들고 구름은 비가 되어 내립니다. 이를 물의 순환이라고 하며, 하수처리장은 이 물의 순환시스템 중에서 우리들이 사용한 더러워진 물을 깨끗하게 처리하여 강과 바다로 되돌려 보내는 매우 큰 역할을 수행하고 있습니다.

[시설전경]
처리시설의 안정적이고 효율적인 운영으로 방류수 수질기준 준수, 시설운영의 최적화를 도모하여 경쟁력 있는 사업장 구현을 위해 관리지침의 운전방법으로 적정하게 관리하여 시설물의 처리 기능을 충분히 발휘시키고 손상시키지 않도록 함과 동시에 시설을 보전시키기 위해 최신설비장비로 체계적인 관리를 수행하고 있습니다.

[시설현황]
위치 충남 보령시 웅천읍 대창증산로 8-69
부지면적 12,870㎡
처리구역 182.94ha(11개리 대창 1~9리, 대천 1~2리)
시설용량 1,500 ㎥/일
차집관거 6.261㎞ 사업비 162억원(국비 8,586, 양여금 2,284, 지방비 5,329)
사업기간 2004. 10. 6 ~ 2007. 11. 12
시공사 동신건설(주), (주)지성엔지니어링
처리공법 SMMIAR(완전침지형회전매체)
수탁비 239,501천원(2010년도)
",,
산업/경제,보령시시설관리공단,환경기초,웅천공공하수처리시설_찾아오시는길,웅천공공하수처리시설 찾아가는 길 알려주세요,"웅천공공하수처리시설 위치 안내 해주세요
웅천공공하수처리시설 교통편 안내 해주세요","[주소]
충남 보령시 웅천읍 대창증산로 8-69

[문의상담]
041-932-9158

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 웅천체육공원방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,무창포공공하수처리시설_시설안내,무창포공공하수처리시설 시설안내 해주세요,무창포공공하수처리시설 시설현황 알려주세요,"[무창포공공하수처리시설]
보령시 무창포 일원의 공공수역 수질개선 및 지역 주민의 생활환경 개선을 목적으로 설치되었습니다. 안전하고 쾌적한 시설 환경 조성을 위해 강에서 취수된 물은 우리들의 생활과 공장 등에서 사용하며, 사용된 물은 바다와 강으로 유입되고 바다의 물은 증발하여 구름을 만들고 구름은 비가 되어 내립니다. 이를 물의 순환이라고 하며, 하수처리장은 이 물의 순환시스템 중에서 우리들이 사용한 더러워진 물을 깨끗하게 처리하여 강과 바다로 되돌려 보내는 매우 큰 역할을 수행하고 있습니다.

[시설전경]
처리시설의 안정적이고 효율적인 운영으로 방류수 수질기준 준수, 시설운영의 최적화를 도모하여 경쟁력 있는 사업장 구현을 위해 관리지침의 운전방법으로 적정하게 관리하여 시설물의 처리 기능을 충분히 발휘시키고 손상시키지 않도록 함과 동시에 시설을 보전시키기 위해 최신설비장비로 체계적인 관리를 수행하고 있습니다.

[시설현황]
위치 충남 보령시 웅천읍 열린바다로 375
부지면적 8,139㎡
처리구역 0.27ha(무창포해수욕장, 독산리 일부)
시설용량 1,600 ㎥/일
차집관거 2.737㎞ 사업비 39억원
사업기간 2001. 10. ~ 2005. 09. 시공사 (주)서진
처리공법 ICEAS-SBR(연속회분식법) 수탁비 143,718천원(2010년도)
",,
산업/경제,보령시시설관리공단,환경기초,무창포공공하수처리시설_찾아오시는길,무창포공공하수처리시설 찾아오는 길 알려주세요,"무창포공공하수처리시설 위치 안내 해주세요
무창포공공하수처리시설 교통편안내 해주세요","[주소]
충남 보령시 웅천읍 열린바다로 375

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 무창포항방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,성주공공하수처리시설_시설안내,성주공공하수처리시설 안내 해주세요,"성주공공하수처리시설 시설현황 알려주세요
성주공공하수처리시설 처리계통도 알려주세요
성주공공하수처리시설 주요설비현황 알려주세요","[성주공공하수처리시설]
보령댐 일원의 공공수역 수질개선을 목적으로 설치 되었습니다. 안전하고 쾌적한 시설 환경 조성을 위해 강에서 취수된 물은 우리들의 생활과 공장 등에서 사용하며, 사용된 물은 바다와 강으로 유입되고 바다의 물은 증발하여 구름을 만들고 구름은 비가 되어 내립니다. 이를 물의 순환이라고 하며, 하수처리장은 이 물의 순환시스템 중에서 우리들이 사용한 더러워진 물을 깨끗하게 처리하여 강과 바다로 되돌려 보내는 매우 큰 역할을 수행하고 있습니다.

[시설현황]
위치 충남 보령시 성주면 지게골길 92-142
부지면적 1,782.21㎡
처리구역 34ha(성주 1~8리, 개화리 일부)
시설용량 700 ㎥/일
차집관거 11.784㎞ 사업비 30억원(지방비 30)
사업기간 2000. 1. ~ 2000. 12.
시공사 성진건설(주)
처리공법 ICEAS-SBR(연속회분식법)
수탁비 84,971천원(2010년도)",,
산업/경제,보령시시설관리공단,환경기초,성주공공하수처리시설_찾아오시는길,성주공공하수처리시설 찾아가는 길 알려주세요,"성주공공하수처리시설 위치알려주세요
성주공공하수처리시설 교통편안내 해주세요","[주소]
충남 보령시 성주면 지게골길 92-142

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 개화예술공원방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,슬러지건조시설_시설안내,슬러지건조시설 안내 해주세요,"슬러지건조시설 시설현황 알려주세요
슬러지건조시설 기대효과 알려주세요","[슬러지건조시설]
보령시민들이 배출해 8개 공공하수처리장에서 발생되는 하루 15~17톤의 하수슬러지를 2톤정도의 건조물로 재생해 에너지자원으로 재활용 목적으로 설비되었습니다. 이제까지는 하수슬러지를 건조해서 소각하는 방식으로하는 처리시설을 이용했으나, 슬러지건조시설은 건조물로 재생하는 방식으로 시설되었습니다. 이 건조물을 (주)한국중부발전 보령화력에서 화력발전소의 보조연료로 사용토록 하기 위해 수요·공급협약을 체결할 예정입니다. 본 시설이 본격적으로 가동되면 하수슬러지를 대체에너지로 재활용해 예산절감 효과와 지구온난화의 주범인 이산화탄소 감축효과를 기대할 수 있습니다.

[시설현황]
위치 보령시 대천방조제로 322(보령공공하수처리장 내) 면적
부지면적1816㎡(549평), 건축면적817㎡(247평)
처리용량 20톤/일 총사업비 5,800백만원(국비 : 4,000, 시비 : 1,800)
준공일 2009. 12. 25 시공업체 (주)서진산업
관리구분 '10. 01. 01 보령시시설관리공단 위탁(신규)",,
산업/경제,보령시시설관리공단,환경기초,슬러지건조시설_찾아오시는길,슬러지건조시설 찾아가는길 안내해주세요,"슬러지건조시설 주소 알려주세요
슬러지건조시설 위치 알려주세요
슬러지건조시설 교통편안내 해주세요","[주소]
충남 보령시 대천방조제로 322(보령공공하수처리장 내)

[문의상담]
041-931-1422

[교통편안내]
시내버스
대천역앞 시내버스 승강장에서 하수종말처리장방면
06:50∼22:00까지일일30회운행(10km/20분)
시외버스
서울 -> 보령
(06:40 ~ 19:30 / 2시간∼3시간 10분소요 / 32회 운행)
대전 -> 보령
(06:00 ~ 19:30 / 1시간 50분소요 ∼2시간 40분 / 54회 운행)
군산 -> 보령
(07:05 ~ 20:00 / 1시간 30분소요 / 14회 운행)",,
산업/경제,보령시시설관리공단,환경기초,위생매립장 침출수처리시설_시설안내,위생매립장 침출수처리시설 안내 해주세요,위생매립장 침출수처리시설 현황 알고싶어요,"[위생매립장 침출수처리시설]
보령시민들이 배출하는 생활폐기물을 처리하기 위한 보령시 생활폐기물 종합처리장 내에 설치되어 생활폐기물 위생매립장에서 발생되는 침출수와 음식물 처리시설에서 발생되는 음식물탈리액을 보령공공하수처리시설에 연계처리하기 위한 전처리시설로 침출수와 음식물탈리액을 안정적, 위생적, 효율적으로 처리하여 직·간접적인 환경오염을 최소화함으로써 보령시의 쾌적한 생활환경 보전 및 시민의 보건 위생 향상을 도모하기 위한 시설입니다.

[시설현황]
위치 해안로 543 시설비(준공) 20,643백만원(1999)
시설규모 처리량 : 150㎥/일 처리방식 폭기식라군법(하수 연계처리)",,
산업/경제,보령시시설관리공단,소통마당,고객의소리,보령시시설관리공단 고객의 소리 건의하고 싶어요,보령시시설관리공단 건의하고 싶은게 있는데요,"[소통마당]
보령시시설관리공단은 시민의 소리에 귀를 귀울이겠습니다. 공단관련 시설문의사항, 고충 등 의견에 대하여 답변을 드리겠습니다.

<LINK>
소통마당
https://www.brsisul.or.kr/kor/bbs/BBSMSTR_000000000010/lst.do
보령시 시설관리공단에 건의할 수 있습니다. ",,
산업/경제,보령시시설관리공단,소통마당,자주하는질문,보령시시설관리공단 자주하는질문 알려주세요,보령시시설관리공단 자주하는질문게시판 알려주세요,"[자주하는질문]
보령시시설관리공단은 시민의 소리에 귀를 귀울이겠습니다.자주 할 수 있는 질문을 확인하시려면 아래 URL에서 확인할 수 있습니다..

<LINK>
자주하는 질문
https://www.brsisul.or.kr/kor/bbs/BBSMSTR_000000000011/lst.do
자주하는 질문",,
산업/경제,보령시시설관리공단,소통마당,불편사항신고,보령시시설관리공단 불편사항신고 하고싶어요,보령시시설관리공단 불편사항 말하고싶어요 ,"[불편사항 신고]
보령시시설관리공단은 시민의 소리에 귀를 귀울이겠습니다. 공단관련 불편사항에 대한 신고를 받습니다.

<LINK>
불편사항신고
https://www.brsisul.or.kr/kor/bbs/BBSMSTR_000000000012/lst.do
불편사항을 신고할 수 있습니다.",,
산업/경제,보령시시설관리공단,소통마당,클린신고센터,보령시시설관리공단 클린신고센터 알려주세요,"보령시시설관리공단 클린신고센터 있나요
보령시시설관리공단 상담번호 알려주세요","[클린신고센터]
공단시설 이용 시 발견하신 각종 법령위반 및 부당 요구 등에 대하여 신고해 주시면 공단 감사부서에서 신속히 처리하도록 하겠습니다.

[문의처]
상담을 원하시는 경우, 전략기획팀으로 연락주시면 친절하게 상담하여 드립니다.
상담전화 : 041-936-1422

<LINK>
클린신고센터 신고하기
https://www.brsisul.or.kr/kor/bbs/BBSMSTR_000000000013/wrt.do
신고할 수 있는 링크로 연결됩니다.

<LINK>
클린신고센터 처리결과
https://www.brsisul.or.kr/kor/bbs/BBSMSTR_000000000013/lst.do
신고 처리 결과를 확인할 수 있는  링크로 연결됩니다.",,
산업/경제,보령시시설관리공단,공단소개,조직안내,보령시시설관리공단 조직안내 해주세요,보령시시설관리공단 전략기회팀  연결해주세요,"[공단 조직도]
공단 조직도 및 직원 확인은 아래 URL에서 할 수 있습니다.

<LINK>
공단 조직도
https://www.brsisul.or.kr/kor/organization/list.do
공단 조직도 및 직원을 확인할 수 있습니다.",,
산업/경제,보령시시설관리공단,공단소개,찾아오시는길,보령시시설관리공단 찾아가는 길 알려주세요,"보령시시설관리공단 주소 알려주세요
보령시시설관리공단 교통편알려주세요","[주소]
충남 보령시 대천방조제로 322

[문의상담]
041-931-1422(일반), 041-930-0950(행정)

[교통편안내]
승용차
서울->서해안고속도로->대천IC
대전->공주->청양->보령
대전->논산->부여->보령

버스
서울->보령(2시간소요)
대전서부터미널->보령터미널(1시간소요)
천안터미널->보령터미널(2시간소요)
군산터미널->보령터미널(1시간소요)",,
부동산/주택,원터치부동산정보열람시스템,원터치부동산정보열람시스템,원터치부동산정보열람시스템,원터치부동산열람시스템이란 무엇인가요?,원터치부동산열람시스템이 뭔지 알려주세요,"[원터치부동산정보열람시스템]
부동산 정보열람을 위해 시청까지 방문해야 하는 주민들의 불편을 덜기 위해 구축된 것으로, 최신 항공사진을 기반으로 지적(임야)도, 토지대장정보, 토지이용계획, 도로명주소 등 각종 부동산정보를 대형화면을 통해 터치스크린 방식으로 정보를 열람할 수 있습니다.",,
부동산/주택,원터치부동산정보열람시스템,원터치부동산정보열람시스템,원터치부동산열람시스템 운영 정보,원터치부동산열람시스템 운영정보 알려주세요,원터치 부동산 열람시스템 운영정보,"[원터치부동산열람시스템 운영 정보]
<IMAGE>
원터치부동산열람시스템 운영 정보
https://chatbot1.blob.core.windows.net/%24web/281.png",,
부동산/주택,원터치부동산정보열람시스템,원터치부동산정보열람시스템,원터치부동산열람시스템 설치장소,원터치부동산열람시스템 설치장소 알려주세요,원터치부동산열람시스템 설치장소 어디인가요,"[원터치부동산열람시스템 설치장소]
<IMAGE>
원터치부동산열람시스템 설치장소
https://chatbot1.blob.core.windows.net/%24web/282.png",,
부동산/주택,찾아가는무료건축상담실,소통마당,찾아가는 무료 건축 상담실이란?,찾아가는 무료 건축 상담실에 대해 설명해주세요,찾아가는 건축 무료상담실 세부추진내용 알려주세요,"[찾아가는 무료 건축상담실]
건축 민원이 상대적으로 높은 비용과 전문 지식을 요구하는데 비해 경제적·시간적인 이유로 설계사무소 방문 등을 주저하는 시민들에게 보다 다양한 건축행정 서비스를 무료로 제공하기 위해 마련
특히, 지역 건축사들에게는 재능기부를 통한 사회 공헌의 기회를 제공하고, 시민들에게는 상대적으로 생소하고 해결 방법이 쉽지 않은 건축 민원을 해당 읍·면·동에서 편안히 무료 상담 받을 수 있어 상호간의 만족도 및 호응도가 높음

[2019년도 추진 실적]
운영횟수 및 상담 건수 : 총 38회 / 90건

[2020년 세부 추진 내용]
-일 시 : 2020년 3월 5일부터 매주 목요일 14시 ~ 17시(3시간)
-장 소 : 해당 읍·면·동 행정복지센터 내 상담실
-대상 : 16개 읍·면·동
-상담사 : 관내 등록된 건축사 22명의 재능기부로 진행

-상담내용
주택 설계 및 인·허가 등 건축행정 절차에 관한 사항
무허가 축사 양성화 및 건축물대장 등재 신청 사항
농촌주택개량사업 및 노후주택 증·개축 관련 등

-건축무료 상담실 Q&A 코너 운영
자주하는 상담사례등을 소개해 상담 정보를 공유토록 하여 주민들에게 다양하고 질높은 서비스를 제공",,
부동산/주택,찾아가는무료건축상담실,소통마당,찾아가는 건축 무료상담실 운영 세부 일정,찾아가는 건축 무료상담실 운영 세부 일정 알려주세요,찾아가는 건축 무료상담실 운영 세부 일정이 어떻게되나요?,"[2021년 상반기 건축 무료상담실 일정표]
<IMAGE>
2021년 상반기 건축 무료상담실 일정표
https://chatbot1.blob.core.windows.net/%24web/284_1.png

[2021년 하반기 건축 무료상담실 일정표]
<IMAGE>
2021년 하반기 건축 무료상담실 일정표
https://chatbot1.blob.core.windows.net/%24web/284_2.png",,
교육/취업,보령시 정보화교육, 정보화교육안내,정보화교육이란,정보화교육이 뭔가요?,"정보화교육에 대해서 설명해줘
정보화교육 교육과정에 대해 알려줘","[정보화교육]
정보화 사회에 맞추어 보령시민을 위한 기초부터 활용까지 정보화 교육을 실시하고 있습니다. 정보격차를 해소하고 급변하는 정보화 사회에 능동적으로 대처하기 위한 기회를 제공하기 위해 노력하겠습니다. 많은 참여 바랍니다.

[추진배경]
정보화촉진기본법 제35조에 의거 지역간, 계층간 정보격차를 해소하고 전 시민의 인터넷 생활화를 위하여 주부, 어르신, 장애인 등 정보소외계층에 대한 정보화 교육이 필요함에 따라 보령시민의 정보화 수준 향상 및 정보화 시대의 소양을 갖춘 문화시민 양성

[운영방향]
교육수요자의 정보화 수준에 맞는 다양한 교육과정 편성.운영으로 정보화 소외계층 중점교육을 통해 실생활에 도움이 되는 인터넷 교육을 중점적으로 실시
교육 수료자의 교육에 대한 지속적 수요충족을 위한 다양한 강좌 개설
교육과정 종료 후 설문조사를 통한 시민의견 반영
많은 시민이 참여할 수 있도록 신규교육 신청자에게 우선 교육 기회 제공

[대상]
보령시민

[교육과정]
시청정보화교육 : 컴퓨터 기초, 엑셀 기초, 컴퓨터 활용, 인터넷 활용 등 정보화교육
종합사회복지관 : 컴퓨터, 단전호흡, 건강체조, 스포츠댄스, 요가, 한글 등
농업기술센터 : 인터넷 기초, 스마트폰 기초, 문서작성 & 엑셀 등 정보화 교육",,
교육/취업,보령시 정보화교육,교육시설정보,시청 정보화교육,시청 정보화 이용안내 해주세요,"시청 정보화교육 받고싶어요
","[교육장소]
보령시청 정보화교육장(문화예술회관 1층)

[교육시간]
10시~12시/13시~15시/16시~18시

[문의전화]
보령시청 홍보미디어실 041-930-3181 ",,
교육/취업,보령시 정보화교육,교육시설정보,종합사회복지관,종합사회복지관 이용안내 해주세요,종합사회복지관 교육 받고싶어요,"[교육장소]
복지관 강의실

[교육시간]
10시~12시, 13시~15시, 15시~17시, 19시~21시

[문의전화]
종합복지관팀 041-930-3393",,
교육/취업,보령시 정보화교육,교육시설정보,농업기술센터,농업기술센터 이용안내 해주세요,농업기술센터 교육받고 싶어요,"[교육장소]
농업기술센터 정보화교육장(2층)

[교육시간]
오후2시~6시 (교육과정 및 교육시간을 확인하세요)

[문의전화]
보령시 농업기술센터 농업지원과 041-930-7682",,
